Id,Date Added,Council Member,Recipient Self,Recipient Dependent,Recipient Staff,Source,Date Gifted,Nature / Value,Reason,Intent
318,September 30 2018,Brian Bowman,yes,no,no,Durrenmatt Notebook,November 14 2018,Compliments of the Swiss Confederation - $5.00,Thank you Gift,Retain
369,December 31 2018,Brian Bowman,yes,no,no,Lakhvinder Dullat,December 21 2018,Box of Almond Roca - $20.00,Christmas Courtesy Gift,Retain
368,December 31 2018,Brian Bowman,yes,no,no,Councillor Scott Gillingham,December 21 2018,"Gourmet Mustard Pack, Ornament - $20.00",Christmas Courtesy Gift,Retain
367,December 31 2018,Brian Bowman,yes,no,no,Captain Handley -2 Cdn Air Div in Wpg,December 19 2018,"Presented a letter, a coin, a photo book and music CD on behalf of the Mayor of Lviv, Sister City .",Courtesy Gift,Retain
366,December 31 2018,Brian Bowman,yes,no,no,Centre Venture- Angela and Team,December 18 2018,Wpg Architechture Fdn Coffee Mug - $10.00,Christmas Courtesy Gift,Retain
365,December 31 2018,Brian Bowman,yes,no,no,I Am Love Project- Amy Tung and Alix McLachlan,December 21 2018,12 Toques -$50.00,Courtesy Gift,Retain
364,December 31 2018,Brian Bowman,no,no,yes,Paul Boge and Joy Smith,December 21 2018,Book - The True Story of Cdn Human Trafficking-$20.00,Courtesy Gift,Retain
363,December 31 2018,Brian Bowman,yes,no,no,K9 Storm Factory,December 21 2018,"3 toques, 3 calendars- $100.00",Courtesy Gift,Retain
362,December 31 2018,Brian Bowman,yes,no,no,Jody Zarn - Laps 4 Life,December 18 2018,56g.Salted Chocolate Covered Almonds - $5.00,Xmas Courtesy Gift,Retain
361,December 31 2018,Brian Bowman,yes,no,no,Councillor Browaty,December 18 2018,Our Finest box of Truffles - $10,Xmas Courtesy Gift,Retain
360,December 31 2018,Brian Bowman,yes,no,no,"Cineplex - Sarah Van Lange, Dir Communications",December 18 2018,Cineplex Premiere Card,Courtesy Gift,Retain
359,December 31 2018,Brian Bowman,yes,no,no,"MB Heavy Construction Assoc., Don Hurst & Chris Lorenc",December 11 2018,Holiday Collection of Chocolates - $20,Courtesy Gift,Retain
358,December 31 2018,Brian Bowman,yes,no,no,ACTRA - Rob Macklin,December 11 2018,"ACTRA tote bag, scarf,bottle of champagne, water bottle,box of 3 MB chocolates, gc haircut and volume lashes.$20 restaurant gc, dconstruct eco bracelet - $100.00",Courtesy Gift,Retain
357,December 31 2018,Brian Bowman,yes,no,no,Art City,December 10 2018,Art City T-shirt - $20.00,Courtesy Gift,Retain
356,December 31 2018,Brian Bowman,yes,no,no,Amsterdam Tea Room,December 04 2018,"samples of tea, tea diffuser - $30.00",Courtesy Gift,Retain
355,December 31 2018,Brian Bowman,yes,no,no,"Alex Plante, Digital Painter and Illustrator",December 18 2018,"""Fun"" Painting of Forks, Human Rights Museum - $50.00",Courtesy Gift,Retain
354,December 31 2018,Brian Bowman,yes,no,no,Ambassador of the Republic of Korea,December 03 2018,Decorative Plate - $20.00,Courtesy Visit Gift,Retain
353,December 31 2018,Brian Bowman,yes,no,no,All Seniors Care Living Centres,December 01 2018,A Love of Food Recipe Book - $10.00 4 Homemade Cookies - $5.00,Happy Holiday Season,Retain
352,December 31 2018,Brian Bowman,yes,no,no,Polish Pioneers in Canada,November 01 2018,In the Footsteps of Polish Pioneers in Canada - $25.00,Thank you gift,Retain
323,September 30 2018,Jason Schreyer,yes,no,no,Folklorama,July 18 2018,VIP tickets from Folklorama approximate value $235.00,VIP Tickets to Councillors,Retained
322,September 30 2018,Brian Bowman,yes,no,yes,Folklorama,August 05 2018,VIP pass package and 2 bus tour passes - $555.80,Protocol - toured all pavilions,Retain
321,September 30 2018,Brian Bowman,yes,no,no,Kaj Hasselrus,November 27 2018,Milk - a DVD Movie - $2.00,Congratulations on another term gift,Retain
320,September 30 2018,Brian Bowman,yes,no,no,Office of The Calgary Mayor,November 18 2018,Blue Bomber/Calgary Playoff tickets and Hotel - $310.00,Courtesy Visit Gift,Retain
319,September 30 2018,Brian Bowman,yes,no,no,Wpg Business Club,November 14 2018,binder - $10.00,Thank you Gift,Retain
317,September 30 2018,Brian Bowman,yes,no,no,The Life of a Doctor,November 14 2018,Autobiography of Dr Kiron Mallick - $10,Thank you Gift,Retain
316,September 30 2018,Brian Bowman,yes,no,no,Royal Winnipeg Rifles,November 11 2018,History of the Royal Winnipeg Rifles Book $25.00,Thank you Gift,Retain
315,September 30 2018,Brian Bowman,yes,no,no,Pizza Hotline,November 10 2018,Pizza Hotline T-shirt and Hat - $10.00,Thank you gift,Retain
314,September 30 2018,Brian Bowman,yes,no,no,Downtown Biz,November 08 2018,"coffee cup with flowers, Downtown Biz re-usable bag - $15.00",gift   (Inaguration?),Retain
313,September 30 2018,Brian Bowman,yes,no,no,Manitoba Building Trades,November 08 2018,"2 chocolates in a box, Chocolatier Constance Popp 5.00",Thank you gift,Retain
312,September 30 2018,Brian Bowman,yes,no,no,Aboriginal Veterns Day,November 08 2018,Aboriginal Veterans Day Coffee Mug - 5.00,Protocol/Thank you gift,Retain
311,September 30 2018,Brian Bowman,yes,no,no,Diwali Mela,November 03 2018,"Hindu Business Directory Book, Bhagavad-gita book, Temple ornament candle holder - 50.00",Protocol/Thank you gift/Speaking,Retain
310,September 30 2018,Brian Bowman,yes,no,no,Polish Pioneers in Canada,November 01 2018,In the Footsteps of Polish Pioneers in Canada - $25.00,Thank you gift,Retain
309,September 30 2018,Brian Bowman,yes,no,yes,WSO,September 17 2018,Maestro Raiskin's first concert -  $200,Event attendance - protocol and speaking,Retain
308,September 30 2018,Brian Bowman,yes,no,yes,Peter Nygard - Nygard International,September 14 2018,50th Anniversary Reception and Show- $200,Event attendance - protocol and speaking,Retain
307,September 30 2018,Brian Bowman,yes,no,no,Ernie McArthur,September 06 2018,SK Roughriders hat - $20,Joke gift,Retain
306,September 30 2018,Brian Bowman,yes,no,yes,Government of France,September 05 2018,Reception in Honour of new Honurary Consul - $100,Event attendance - protocol,Retain
101,June 12 2018,Russ Wyatt,yes,no,no,Roy Liang,May 18 2018,Unknown,Pillow,Retained
305,September 30 2018,Brian Bowman,yes,no,yes,Lights of the North,August 31 2018,Grand Opening - $50,Event attendance - protocol and speaking,Retain
