Notice Type,Community,Notice ID,Address,Description,Conditions,Approval Type,Meeting Date,Decision,Search DMIS,In Date,Order Date,Ward,Neighbourhood,Location,Roll Number,Appeal Date,Report/Plan URL,Point,Plain Language,Wards,Neighborhoods,Zip Codes,Electoral Ward 2018
VARIANCE,East Kildonan-Transcona,14-133948/C,720 Kildare AVE E and 301 Redonda ST,"To vary the ""RMF-M"" dimensional standards of Zoning By-Law No. 200/2006 for the establishment of three zoning lots as follows:
1) on Proposed Lot 1, the maintenance of an existing assisted living facility to permit no west side yard instead of 10 feet (3.05 metres);
2) on Proposed Lot 2:
  a) for the maintenance of a multi-family dwelling to permit the following:
    i) no east side yard instead of 18 feet (5.5 metres);
    ii) no west side yard instead of 18 feet (5.5 metres);
  b) for the establishment of an accessory parking area to permit the following:
    i) a front yard of 7 feet (2.1 metres) instead of 25 feet (7.62 metres);
3)  on Proposed Lot 3:
  a) for the construction of a 5 storey, assisted living facility to permit the following:
    i) no east side yard instead of 16 feet (4.88 metres);
    ii) a rear yard of 9.6 feet (2.93 metres) instead of 25 feet (7.62 metres);
  b) for the establishment of an accessory parking area to permit the following:
    i) parking stalls having no direct access to an aisle or driveway (access will be by cross-access agreement with adjoining property).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That final plans, showing the location and details of landscaping, fencing, signage, and garbage enclosures, shall be submitted to the Board of Adjustment and the Director of Planning, Property and Development for approval prior to the issuance of any development or building permits; and thereafter shall be maintained to the satisfaction of the Director of Planning, Property and Development.",Meeting,03/02/2016,,,16/06/2014,08/02/2016,Transcona,Kildare-Redonda,"(49.90005244567424, -96.98139856575783)",9010474170,02/25/2016 12:00:00 AM,,POINT (-96.98139856575783 49.90005244567424),,9,134,,11
APPEAL,City Centre,15-138139/C,928 Carter AVE,"To vary the ""R2 PDO Airport Vicinity"" dimensional standards of Zoning By-Law No. 200/2006 as follows:
1) for the establishment of two (2) residential zoning lots to permit lot areas of 2,500 square feet (232.3 square metres) instead of 5,000 square feet (464.5 square metres);
2) for the construction of a single-family dwelling, each on Lot 6 and Lot 7, to permit a front yard of 17 feet (5.2 metres) instead of 24 feet (7.3 metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That final plans, showing the location and details of landscaping, fencing, signage, and garbage enclosures, shall be submitted to the Board of Adjustment and the Director of Planning, Property and Development for approval prior to the issuance of any development or building permits; and thereafter shall be maintained to the satisfaction of the Director of Planning, Property and Development.",Meeting,11/02/2016,,http://clkapps.winnipeg.ca/dmis/DocExt/Search.asp?QuickSearch=15-138139/C,25/06/2015,21/12/2015,River Heights - Fort Garry,Grant Park,"(49.85955541611484, -97.158108976737)",,01/07/2016 12:00:00 AM,,POINT (-97.158108976737 49.85955541611484),,5,78,,14
VARIANCE,City Centre,15-138139/C,928 Carter AVE,"To vary the ""R2 PDO Airport Vicinity"" dimensional standards of Zoning By-Law No. 200/2006 as follows:
1) for the establishment of two (2) residential zoning lots to permit lot areas of 2,500 square feet (232.3 square metres) instead of 5,000 square feet (464.5 square metres);
2) for the construction of a single-family dwelling, each on Lot 6 and Lot 7, to permit a front yard of 17 feet (5.2 metres) instead of 24 feet (7.3 metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That final plans, showing the location and details of landscaping, fencing, signage, and garbage enclosures, shall be submitted to the Board of Adjustment and the Director of Planning, Property and Development for approval prior to the issuance of any development or building permits; and thereafter shall be maintained to the satisfaction of the Director of Planning, Property and Development.",Meeting,11/02/2016,,,25/06/2015,21/12/2015,River Heights - Fort Garry,Grant Park,"(49.85955541611484, -97.158108976737)",,01/07/2016 12:00:00 AM,,POINT (-97.158108976737 49.85955541611484),,5,78,,14
CONDITIONAL USE,City Centre,15-138141/C,928 Carter AVE,"For a Conditional Use under Zoning By-Law No. 200/2006 to permit the establishment of one (1) secondary suite, attached use accessory to a single-family dwelling residence on each Lot 6 and Lot 7.",,Meeting,11/02/2016,,,25/06/2015,21/12/2015,River Heights - Fort Garry,Grant Park,"(49.85955541611484, -97.158108976737)",,01/07/2016 12:00:00 AM,,POINT (-97.158108976737 49.85955541611484),,5,78,,14
CONDITIONAL USE,City Centre,15-139852/C,123 Clare AVE,For a Conditional Use under Zoning By-Law No. 200/2006 to permit the establishment of a detached secondary suite use.,,Meeting,20/04/2016,,,03/07/2015,25/04/2016,Fort Rouge - East Fort Garry,Riverview,"(49.86323567856902, -97.11917258770461)",12001486000,05/12/2016 12:00:00 AM,,POINT (-97.11917258770461 49.86323567856902),,6,169,,15
VARIANCE,City Centre,15-139858/C,123 Clare AVE,"To vary the ""R1-L"" Dimensional Standards of Zoning By-law No. 200/2006 for the maintenance of a detached secondary suite to permit:
1) a west side yard of 2.4 feet (0.73 metres) to the building and 3.9 feet (1.19 metres) to the deck instead of 4 feet (1.22 metres);
2) a rear yard of 3.35 feet (1.02 metres) instead of 5 feet (1.52 metres);
3) a total lot coverage for all accessory buildings of 13% instead of 12.5%.",,Meeting,20/04/2016,,,03/07/2015,25/04/2016,Fort Rouge - East Fort Garry,Riverview,"(49.86323567856902, -97.11917258770461)",12001486000,05/12/2016 12:00:00 AM,,POINT (-97.11917258770461 49.86323567856902),,6,169,,15
APPEAL,City Centre,15-140781/D,120 Scott ST,"To vary the proposed ""RMU"" dimensional standards of Zoning By-Law No. 200/2006 for the construction of a multi-family dwelling and commercial building to permit as follows:
a) a lot area of 6391 square feet (593.8 square metres) instead of 9000 square feet (836.1 square metres).
b) a front yard of 1.5 feet (0.46 metres) instead of 15 feet (4.57 metres).
c) a north corner side yard of 2 feet (0.61 metres) instead of 20 feet (6.10 metres). 
d) a south side yard of 4 feet (1.22 metres) instead of 11 feet (3.35 metres).
e) a rear yard of 6 feet (1.83 metres) instead of 25 feet (7.62 metres).
f) 8 parking spaces instead of 12 parking spaces.
g) no visitor parking spaces instead of 1 visitor parking space.
h) two interior parking stalls adjacent to a wall with a width of 8.5 feet (2.59 metres) and 9 feet (2.74 metres) instead of 10 feet (3.05 metres).
i) parking stalls with a length of 16 feet (4.88 metres) to 18 feet (5.49 metres) instead of 20 feet (6.10 metres) 
j) no street edge landscaping.
k) a three-sided garbage enclosure instead of a fully enclosed garbage enclosure.","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.",Meeting,14/01/2016,,http://clkapps.winnipeg.ca/dmis/DocExt/Search.asp?QuickSearch=15-140781/D,08/07/2015,13/11/2015,Fort Rouge - East Fort Garry,River-Osborne,"(49.87953324308847, -97.14088000628115)",12031791000,12/02/2015 12:00:00 AM,,POINT (-97.14088000628115 49.87953324308847),,6,57,,15
CONDITIONAL USE,Riel,15-144370/D,275 Beliveau RD,For a Conditional Use under Zoning By-Law No. 200/2006 to permit the establishment of a multi-family dwelling use.,,Meeting,11/01/2016,,http://clkapps.winnipeg.ca/dmis/DocExt/Search.asp?QuickSearch=15-144370/D,21/07/2015,15/01/2016,St. Vital,Worthington,"(49.83902084704538, -97.10105290555157)",8004109600,02/03/2016 12:00:00 AM,,POINT (-97.10105290555157 49.83902084704538),,11,114,,10
APPEAL,Lord Selkirk-West Kildonan,15-154290/B,423 Adsum DR,"For a Conditional Use under Zoning By-Law No. 200/2006 to permit a lawyer providing a personal service on the premises to maintain as a home-based business previously approved under DCU 09-102586/B until January 15, 2011, with the addition of two (2) non-resident employees.",REJECTED,Meeting,14/01/2016,,http://clkapps.winnipeg.ca/dmis/DocExt/Search.asp?QuickSearch=15-154290,01/09/2015,04/11/2015,Old Kildonan,The Maples,"(49.95527565183308, -97.174709384001)",5005273800,,,POINT (-97.174709384001 49.95527565183308),,2,136,,12
VARIANCE,Lord Selkirk-West Kildonan,15-154718/D,376 Logan AVE & 263 Fountain ST,"To vary the proposed ""C2 PDO - West Alexander Centennial"" Dimensional Standards of Zoning By-law No. 200/2006 as follows:
1) for the establishment of an auditorium/theatre/concert hall with caretaker's residence to permit: 
a) insufficient landscaping/buffering along the east lot line abutting the R2 zoning district;
b) no street edge landscaping along Logan Ave. and Fountain St.;
2) for the maintenance of the existing principal building to permit a building height of 58 feet (17.68 metres) instead of 49 feet (14.94 metres);
3) for the maintenance of the existing accessory detached garage to permit no east interior side yard instead of 10 feet (3.0 metres);
4) for the maintenance of the accessory parking area to permit:
a) parking directly off a lane instead of an aisle or driveway;
b) no landscaping/buffering along the south side adjacent to the R2 zoning district.",,Meeting,19/04/2016,,http://clkapps.winnipeg.ca/dmis/DocExt/Search.asp?QuickSearch=15-154718/D,02/09/2015,24/05/2016,Point Douglas,Centennial,"(49.90423050164624, -97.14190666225659)",13081680000,06/10/2016 12:00:00 AM,,POINT (-97.14190666225659 49.90423050164624),,12,38,,1
