Date,Type,Area,Ward,Candidate,Position,Votes,Won
October 24 2018,General Election,Daniel McIntyre,,Cindy GILROY,Office of Councillor,6396,Yes
October 24 2018,General Election,Fort Rouge-East Fort Garry,,Peter KOROMA,Office of Councillor,871,No
October 24 2018,General Election,Transcona,,Raymond ULASY,Office of Councillor,531,No
October 24 2018,General Election,Point Douglas,,Vivian SANTOS,Office of Councillor,5327,Yes
October 24 2018,General Election,Transcona,,Basil EVAN,Office of Councillor,1139,No
October 24 2018,General Election,Transcona,,Sandeep SHARMA,Office of Councillor,258,No
October 24 2018,General Election,St. Norbert-Seine River,,Nancy COOKE,Office of Councillor,4827,No
October 24 2018,General Election,Old Kildonan,,Devi SHARMA,Office of Councillor,6923,Yes
October 24 2018,General Election,Transcona,,Shane GESCHIERE,Office of Councillor,486,No
October 24 2018,General Election,Charleswood-Tuxedo,,Ken ST. GEORGE,Office of Councillor,1664,No
October 24 2018,General Election,Fort Rouge-East Fort Garry,,Harry WOLBERT,Office of Councillor,209,No
October 24 2018,General Election,St. Norbert-Seine River,,Chris DAVIS,Office of Councillor,608,No
October 24 2018,General Election,Charleswood-Tuxedo,,Kevin KLEIN,Office of Councillor,7403,Yes
October 24 2018,General Election,St. Vital,,Brian MAYES,Office of Councillor,14338,Yes
October 24 2018,General Election,Daniel McIntyre,,Josh BRANDON,Office of Councillor,4592,No
October 24 2018,General Election,Transcona,,Steven LIPISCHAK,Office of Councillor,2004,No
October 24 2018,General Election,St. Boniface,,Marcel BOILLE,Office of Councillor,2838,No
October 24 2018,General Election,Mynarski,,Dave CAPAR,Office of Councillor,377,No
October 24 2018,General Election,Point Douglas,,Kate SJOBERG,Office of Councillor,2936,No
October 24 2018,General Election,River Heights-Fort Garry,,Garth STEEK,Office of Councillor,4684,No
October 24 2018,General Election,Elmwood-East Kildonan,,Jason SCHREYER,Office of Councillor,6171,Yes
October 24 2018,General Election,St. Norbert-Seine River,,Markus CHAMBERS,Office of Councillor,5391,Yes
October 24 2018,General Election,Transcona,,Shawn NASON,Office of Councillor,5247,Yes
October 24 2018,General Election,Charleswood-Tuxedo,,Grant NORDMAN,Office of Councillor,5922,No
October 24 2018,General Election,St. James,,Shawn DOBSON,Office of Councillor,5740,No
October 24 2018,General Election,Fort Rouge-East Fort Garry,,Sherri ROLLINS,Office of Councillor,5349,Yes
October 24 2018,General Election,River Heights-Fort Garry,,John ORLIKOW,Office of Councillor,12717,Yes
October 24 2018,General Election,Fort Rouge-East Fort Garry,,Jeff PALMER,Office of Councillor,4783,No
October 24 2018,General Election,Charleswood-Tuxedo,,Kevin NICHOLS,Office of Councillor,2690,No
October 24 2018,General Election,Fort Rouge-East Fort Garry,,Stephanie MEILLEUR,Office of Councillor,1783,No
October 24 2018,General Election,St. James,,Scott GILLINGHAM,Office of Councillor,9130,Yes
October 24 2018,General Election,Transcona,,Wally WELECHENKO,Office of Councillor,2345,No
October 24 2018,General Election,Daniel McIntyre,,Sarowar MIAH,Office of Councillor,238,No
October 24 2018,General Election,St. James,,Kurt MORTON,Office of Councillor,1601,No
October 24 2018,General Election,Elmwood-East Kildonan,,Robb MASSEY,Office of Councillor,5095,No
October 24 2018,General Election,Fort Rouge-East Fort Garry,,Bryanna SPINA,Office of Councillor,700,No
October 24 2018,General Election,Old Kildonan,,Brad GROSS,Office of Councillor,2339,No
October 24 2018,General Election,River Heights-Fort Garry,,Gary LENKO,Office of Councillor,1007,No
October 24 2018,General Election,Fort Rouge-East Fort Garry,,Michael THOMPSON,Office of Councillor,793,No
October 24 2018,General Election,Mynarski,,Michael WIENS,Office of Councillor,1792,No
October 24 2018,General Election,North Kildonan,,Andrew PODOLECKI,Office of Councillor,3786,No
October 24 2018,General Election,St. Norbert-Seine River,,Nikolas JOYAL,Office of Councillor,971,No
October 24 2018,General Election,St. Norbert-Seine River,,Glenn CHURCHILL,Office of Councillor,3835,No
October 24 2018,General Election,Waverley West,,Janice LUKES,Office of Councillor,0,Yes
October 24 2018,General Election,Mynarski,,Ross EADIE,Office of Councillor,6854,Yes
October 24 2018,General Election,Point Douglas,,Dean KOSHELANYK,Office of Councillor,1022,No
October 24 2018,General Election,North Kildonan,,Jeff BROWATY,Office of Councillor,12796,Yes
October 24 2018,General Election,Old Kildonan,,Kaur Singh SIDHU,Office of Councillor,2862,No
October 24 2018,General Election,Transcona,,Alex ALLARD,Office of Councillor,2183,No
October 24 2018,General Election,Mynarski,,Greg LITTLEJOHN,Office of Councillor,1373,No
October 24 2018,General Election,St. Vital,,Baljeet SHARMA,Office of Councillor,1706,No
October 24 2018,General Election,St. Boniface,,Matt ALLARD,Office of Councillor,13649,Yes
October 22 2014,General Election,Charleswood-Tuxedo,,Evan DUNCAN,Office of Councillor,5812,No
October 22 2014,General Election,Point Douglas,,Anthony RAMOS,Office of Councillor,1871,No
October 22 2014,General Election,Mynarski,,Trevor MUELLER,Office of Councillor,554,No
October 22 2014,General Election,Fort Rouge-East Fort Garry,,Norm MILLER,Office of Councillor,2152,No
October 22 2014,General Election,Transcona,,Blessing FESCHUK,Office of Councillor,507,No
October 22 2014,General Election,Elmwood-East Kildonan,,Thomas STEEN,Office of Councillor,4157,No
October 22 2014,General Election,Charleswood-Tuxedo,,Luc LEWANDOSKI,Office of Councillor,2950,No
October 22 2014,General Election,Fort Rouge-East Fort Garry,,Shane NESTRUCK,Office of Councillor,2086,No
October 22 2014,General Election,St. Charles,,Don WOODSTOCK,Office of Councillor,905,No
October 22 2014,General Election,River Heights-Fort Garry,,Taz STUART,Office of Councillor,9355,No
October 22 2014,General Election,St. Charles,,Shawn DOBSON,Office of Councillor,5040,Yes
October 22 2014,General Election,Charleswood-Tuxedo,,Nadine STILLER,Office of Councillor,1956,No
October 22 2014,General Election,Point Douglas,,Rebecca CHARTRAND,Office of Councillor,2024,No
October 22 2014,General Election,Transcona,,George BAARS-WILHELM,Office of Councillor,470,No
